generation,basepokemon,vanillatarget,targetpokemon,percent
1,Abra,Kadabra,Drowzee,32.11678832
1,Abra,Kadabra,Exeggcute,3.745625437
1,Abra,Kadabra,Jynx,29.9770023
1,Abra,Kadabra,Mr. Mime,29.9530047
1,Abra,Kadabra,Slowbro,0.254974503
1,Abra,Kadabra,Slowpoke,3.95260474
1,Bellsprout,Weepinbell,Arbok,15.59944006
1,Bellsprout,Weepinbell,Beedrill,2.090790921
1,Bellsprout,Weepinbell,Exeggcute,1.194880512
1,Bellsprout,Weepinbell,Gloom,12.14278572
1,Bellsprout,Weepinbell,Golbat,0.897910209
1,Bellsprout,Weepinbell,Haunter,15.22647735
1,Bellsprout,Weepinbell,Ivysaur,11.21987801
1,Bellsprout,Weepinbell,Koffing,3.079692031
1,Bellsprout,Weepinbell,Muk,0.151984802
1,Bellsprout,Weepinbell,Nidoking,0.061993801
1,Bellsprout,Weepinbell,Nidoqueen,0.059994001
1,Bellsprout,Weepinbell,Nidorina,3.423657634
1,Bellsprout,Weepinbell,Nidorino,3.457654235
1,Bellsprout,Weepinbell,Parasect,14.58454155
1,Bellsprout,Weepinbell,Tangela,3.630636936
1,Bellsprout,Weepinbell,Tentacool,0.815918408
1,Bellsprout,Weepinbell,Venomoth,11.25887411
1,Bellsprout,Weepinbell,Vileplume,1.102889711
1,Bulbasaur,Ivysaur,Arbok,0.837916208
1,Bulbasaur,Ivysaur,Beedrill,10.58394161
1,Bulbasaur,Ivysaur,Bellsprout,0.194980502
1,Bulbasaur,Ivysaur,Exeggcute,2.803719628
1,Bulbasaur,Ivysaur,Gastly,0.176982302
1,Bulbasaur,Ivysaur,Gloom,9.379062094
1,Bulbasaur,Ivysaur,Grimer,0.196980302
1,Bulbasaur,Ivysaur,Haunter,11.67383262
1,Bulbasaur,Ivysaur,Koffing,13.08969103
1,Bulbasaur,Ivysaur,Nidorina,13.95760424
1,Bulbasaur,Ivysaur,Nidorino,13.94960504
1,Bulbasaur,Ivysaur,Parasect,11.51384862
1,Bulbasaur,Ivysaur,Tentacool,1.902809719
1,Bulbasaur,Ivysaur,Venomoth,0.0219978
1,Bulbasaur,Ivysaur,Weepinbell,9.717028297
1,Caterpie,Metapod,Kakuna,58.25217478
1,Caterpie,Metapod,Weedle,41.74782522
1,Charmander,Charmeleon,Growlithe,53.70262974
1,Charmander,Charmeleon,Ponyta,46.29737026
1,Charmeleon,Charizard,Arcanine,19.33806619
1,Charmeleon,Charizard,Flareon,18.52414759
1,Charmeleon,Charizard,Magmar,18.67513249
1,Charmeleon,Charizard,Ninetales,18.54214579
1,Charmeleon,Charizard,Ponyta,6.091390861
1,Charmeleon,Charizard,Rapidash,18.82911709
1,Clefairy,Clefable,Chansey,16.31436856
1,Clefairy,Clefable,Dodrio,14.44555544
1,Clefairy,Clefable,Fearow,12.50974903
1,Clefairy,Clefable,Kangaskhan,14.72752725
1,Clefairy,Clefable,Lickitung,0.0229977
1,Clefairy,Clefable,Persian,11.67183282
1,Clefairy,Clefable,Pidgeot,14.61453855
1,Clefairy,Clefable,Porygon,0.019998
1,Clefairy,Clefable,Raticate,0.710928907
1,Clefairy,Clefable,Snorlax,0.785921408
1,Clefairy,Clefable,Tauros,0.0179982
1,Clefairy,Clefable,Wigglytuff,14.15858414
1,Cubone,Marowak,Dugtrio,22.86771323
1,Cubone,Marowak,Graveler,22.94570543
1,Cubone,Marowak,Nidoking,0.623937606
1,Cubone,Marowak,Nidoqueen,0.626937306
